,word,Frequency
0,co,146
1,cigna,81
2,aetna,77
3,anthem,53
4,unitedhealth,49
5,health,40
6,get,29
7,group,29
8,amp,28
9,plan,27
10,company,26
11,insurance,20
12,healthcare,19
13,national,18
14,year,17
15,call,17
16,unh,16
17,help,15
18,make,14
19,cv,14
20,work,13
21,pay,13
22,thank,13
23,care,13
24,stock,13
25,inc,12
26,take,11
27,two,11
28,deny,10
29,need,10
30,2023,10
31,10,10
32,include,10
33,know,10
34,sponsor,10
35,one,10
36,please,10
37,earnings,10
38,use,9
39,month,9
40,program,9
41,say,9
42,people,9
43,claim,9
44,service,9
45,change,9
46,like,9
47,heart,9
48,song,9
49,large,9
50,patient,8
51,time,8
52,better,8
53,last,8
54,learn,8
55,good,8
56,email,8
57,today,8
58,home,8
59,want,8
60,medicare,8
61,billion,8
62,fargo,8
63,medical,7
64,also,7
65,available,7
66,sent,7
67,thing,7
68,back,7
69,re,7
70,option,7
71,since,7
72,via,7
73,party,7
74,thursday,7
75,insurer,7
76,blackrock,7
77,employee,6
78,new,6
79,opportunity,6
80,working,6
81,aetnahelp,6
82,humana,6
83,provider,6
84,tell,6
85,right,6
86,would,6
87,see,6
88,approve,6
89,advantage,6
90,provide,6
91,american,6
92,apply,6
93,optum,6
94,check,6
95,offer,6
96,invest,6
97,experience,6
98,forget,6
99,remote,6
100,hire,6
101,customer,6
102,ture,6
103,jpmorgan,6
104,morgan,6
105,stanley,6
106,delta,6
107,well,6
108,doctor,5
109,try,5
110,value,5
111,way,5
112,individual,5
113,next,5
114,league,5
115,teamcvs,5
116,bill,5
117,several,5
118,hr,5
119,high,5
120,fix,5
121,financial,5
122,keep,5
123,late,5
124,cost,5
125,level,5
126,great,5
127,news,5
128,field,5
129,son,5
130,seminar,5
131,transition,5
132,post,5
133,growing,5
134,major,5
135,representative,5
136,aapl,5
137,apple,5
138,profit,5
139,walmart,5
140,chase,5
141,citigroup,5
142,air,5
143,line,5
144,telecommute,5
145,present,4
146,address,4
147,peds_ortho,4
148,reimburse,4
149,never,4
150,dallas,4
151,agent,4
152,discus,4
153,career,4
154,website,4
155,cvshealth,4
156,colleague,4
157,really,4
158,big,4
159,without,4
160,urban,4
161,annual,4
162,award,4
163,social,4
164,and,4
165,part,4
166,arthritisstl,4
167,going,4
168,online,4
169,even,4
170,fraud,4
171,someone,4
172,state,4
173,benefit,4
174,report,4
175,follow,4
176,ct,4
177,issue,4
178,executive,4
179,dr,4
180,look,4
181,accept,4
182,support,4
183,friend,4
184,public,4
185,share,4
186,country,4
187,ukrainian,4
188,break,4
189,world,4
190,hear,4
191,tax,4
